validation_rep	validation_fold	rf_model_name	rf_num_features	rf_auroc_mean	rf_auroc_stdv	rf_auprc_mean	rf_auprc_stdv	lr_model_name	lr_num_features	lr_auroc_mean	lr_auroc_stdv	lr_auprc_mean	lr_auprc_stdv
91	2	M5_rf	2	0.616	0.031	0.802	0.0222	M3_lr	4	0.625	0.0172	0.792	0.0136
91	3	M4_rf	2	0.718	0.0323	0.831	0.0203	M5_lr	1	0.701	0.00866	0.816	0.00793
91	4	M1_rf	1	0.611	0.0258	0.792	0.0122	M1_lr	1	0.584	0.00736	0.828	0.00671
92	0	M1_rf	1	0.585	0.0195	0.781	0.0105	M1_lr	1	0.585	0.00858	0.811	0.00715
92	1	M1_rf	2	0.69	0.0361	0.874	0.0218	M0_lr	3	0.664	0.00838	0.845	0.00655
92	2	M0_rf	3	0.666	0.0286	0.795	0.0159	M2_lr	1	0.687	0.00833	0.819	0.00668
92	3	M0_rf	1	0.609	0.0273	0.799	0.0154	M0_lr	1	0.588	0.00743	0.807	0.00514
92	4	M3_rf	3	0.778	0.0256	0.889	0.0182	M4_lr	2	0.747	0.0138	0.867	0.0106
93	0	M3_rf	3	0.624	0.0197	0.839	0.0161	M5_lr	1	0.638	0.00803	0.817	0.00631
93	1	M6_rf	3	0.655	0.0231	0.838	0.0173	M8_lr	1	0.64	0.00533	0.805	0.00686
93	2	M0_rf	3	0.615	0.0208	0.841	0.0171	M2_lr	1	0.561	0.01	0.802	0.0106
93	3	M0_rf	2	0.656	0.0191	0.873	0.00978	M0_lr	2	0.619	0.00958	0.833	0.00594
93	4	M4_rf	2	0.673	0.0217	0.798	0.014	M4_lr	2	0.705	0.0188	0.812	0.0154
94	0	M3_rf	3	0.612	0.021	0.837	0.0165	M5_lr	1	0.59	0.00974	0.84	0.00599
94	1	M0_rf	2	0.592	0.0241	0.825	0.0166	M1_lr	1	0.573	0.00869	0.827	0.00689
94	2	M0_rf	2	0.602	0.0263	0.813	0.016	M1_lr	1	0.577	0.00616	0.806	0.00687
94	3	M2_rf	2	0.605	0.0316	0.833	0.0195	M0_lr	4	0.62	0.016	0.822	0.0105
94	4	M3_rf	3	0.706	0.0208	0.877	0.0151	M5_lr	1	0.623	0.00628	0.85	0.00474
95	0	M1_rf	2	0.665	0.0208	0.852	0.0142	M2_lr	1	0.635	0.00945	0.809	0.00651
95	1	M2_rf	2	0.57	0.0287	0.823	0.0133	M3_lr	1	0.602	0.00801	0.802	0.0056
95	2	M1_rf	4	0.605	0.026	0.803	0.019	M2_lr	3	0.646	0.0141	0.805	0.0095
95	3	M5_rf	2	0.6	0.0246	0.826	0.0161	M6_lr	1	0.64	0.00609	0.819	0.00607
95	4	M0_rf	2	0.544	0.0223	0.821	0.0111	M1_lr	1	0.578	0.00863	0.835	0.0071
96	0	M1_rf	1	0.6	0.0205	0.783	0.0114	M1_lr	1	0.621	0.00916	0.788	0.00606
96	1	M0_rf	2	0.506	0.0153	0.788	0.011	M1_lr	1	0.583	0.0073	0.835	0.00703
96	2	M0_rf	1	0.511	0.0282	0.763	0.0143	M0_lr	1	0.579	0.00508	0.805	0.00702
96	3	M5_rf	2	0.776	0.0151	0.831	0.00784	M2_lr	5	0.737	0.0236	0.822	0.0212
96	4	M0_rf	4	0.668	0.0301	0.811	0.0211	M2_lr	2	0.727	0.0149	0.841	0.0125
97	0	M2_rf	1	0.661	0.0308	0.782	0.0171	M2_lr	1	0.702	0.0091	0.817	0.00725
97	1	M0_rf	2	0.494	0.0233	0.755	0.0121	M1_lr	1	0.592	0.00608	0.845	0.00533
