dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
GAD Gene-Disease Associations	gad	osteonecrosis	-0.024969	0.11794	1	0	-1		osteonecrosis
GAD Gene-Disease Associations	gad	neoplasms, prostatic; prostatic neoplasms	0.012048	0.59786	1	0	1		neoplasms, prostatic; prostatic neoplasms
GAD Gene-Disease Associations	gad	gastritis, chronic atrophic; stomach cancer	0.012048	0.5991	1	0	1		gastritis, chronic atrophic; stomach cancer
GAD Gene-Disease Associations	gad	pancreatic neoplasm; pancreatic neoplasms	0.016064	0.5803	1	0	1		pancreatic neoplasm; pancreatic neoplasms
GAD Gene-Disease Associations	gad	copd ;  chronic obstructive pulmonary disease	0.017636	0.6919	1	0	1		copd ;  chronic obstructive pulmonary disease
GAD Gene-Disease Associations	gad	carotid artery stenosis; carotid stenosis	0.012048	0.59804	1	0	1		carotid artery stenosis; carotid stenosis
GAD Gene-Disease Associations	gad	cardiovascular diseases; coronary artery disease	0.024096	0.34563	1	0	1		cardiovascular diseases; coronary artery disease
GAD Gene-Disease Associations	gad	hypertension; hypertrophy, left ventricular; left ventricular hypertrophy	0.028112	0.22019	1	0	1		hypertension; hypertrophy, left ventricular; left ventricular hypertrophy
GAD Gene-Disease Associations	gad	cerebral palsy	0.045748	0.20882	1	0	1		cerebral palsy
GAD Gene-Disease Associations	gad	hemorrhagic disorders	-0.012921	0.6115	1	0	-1		hemorrhagic disorders
GAD Gene-Disease Associations	gad	carotid artery stenosis	0.016064	0.57997	1	0	1		carotid artery stenosis
GAD Gene-Disease Associations	gad	coronary artery disease; coronary stenosis	-0.0064606	1	1	0	-1		coronary artery disease; coronary stenosis
GAD Gene-Disease Associations	gad	breath tests	-0.024969	0.12151	1	0	-1		breath tests
GAD Gene-Disease Associations	gad	heart anomalies, congenital	0.016064	0.58319	1	0	1		heart anomalies, congenital
GAD Gene-Disease Associations	gad	hemorrhage	-0.0024446	1	1	0	-1		hemorrhage
GAD Gene-Disease Associations	gad	ahg deficiency disease; hemophilia a; hemophilia b; hemorrhage	0.016064	0.58144	1	0	1		ahg deficiency disease; hemophilia a; hemophilia b; hemorrhage
GAD Gene-Disease Associations	gad	glaucoma	0.02008	0.36243	1	0	1		glaucoma
GAD Gene-Disease Associations	gad	glaucoma, open-angle	0.003143	1	1	0	1		glaucoma, open-angle
GAD Gene-Disease Associations	gad	menopause	0.0055876	1	1	0	1		menopause
GAD Gene-Disease Associations	gad	cardiovascular diseases; thrombosis	-0.0064606	1	1	0	-1		cardiovascular diseases; thrombosis
GAD Gene-Disease Associations	gad	pregnancy complications	0.016064	0.58053	1	0	1		pregnancy complications
GAD Gene-Disease Associations	gad	abortion, habitual; infertility, female	-0.033875	0.23113	1	0	-1		abortion, habitual; infertility, female
GAD Gene-Disease Associations	gad	estradiol; sex hormone binding globulin	-0.0064606	1	1	0	-1		estradiol; sex hormone binding globulin
GAD Gene-Disease Associations	gad	endometrial cancer	0.0055876	1	1	0	1		endometrial cancer
GAD Gene-Disease Associations	gad	mammographic density	-0.012921	0.61521	1	0	-1		mammographic density
GAD Gene-Disease Associations	gad	cadaver; prostatic hyperplasia	-0.0064606	1	1	0	-1		cadaver; prostatic hyperplasia
GAD Gene-Disease Associations	gad	prostatic hyperplasia	0.0096036	0.70611	1	0	1		prostatic hyperplasia
GAD Gene-Disease Associations	gad	hypogonadism	0.012048	0.59917	1	0	1		hypogonadism
GAD Gene-Disease Associations	gad	ovarian failure, premature	0.012048	0.59831	1	0	1		ovarian failure, premature
GAD Gene-Disease Associations	gad	hip fractures; osteoporosis, postmenopausal	0.012048	0.59919	1	0	1		hip fractures; osteoporosis, postmenopausal
GAD Gene-Disease Associations	gad	grave`s disease	0.012048	0.59979	1	0	1		grave`s disease
GAD Gene-Disease Associations	gad	leukemia ;  bone mineral density	0.012048	0.59921	1	0	1		leukemia ;  bone mineral density
GAD Gene-Disease Associations	gad	hip fractures	-0.012921	0.61391	1	0	-1		hip fractures
GAD Gene-Disease Associations	gad	hip fractures; osteoporosis	-0.0024446	1	1	0	-1		hip fractures; osteoporosis
GAD Gene-Disease Associations	gad	breast cancer; prostate cancer	0.031255	0.38278	1	0	1		breast cancer; prostate cancer
GAD Gene-Disease Associations	gad	hypertension, gestational	0.024096	0.34761	1	0	1		hypertension, gestational
GAD Gene-Disease Associations	gad	hypertension, pregnancy induced	0.02008	0.36136	1	0	1		hypertension, pregnancy induced
GAD Gene-Disease Associations	gad	beta-thalassemia	0.016064	0.58141	1	0	1		beta-thalassemia
GAD Gene-Disease Associations	gad	coronary disease; hyperlipoproteinemia type ii	0.01362	0.69215	1	0	1		coronary disease; hyperlipoproteinemia type ii
GAD Gene-Disease Associations	gad	atrial fibrillation	0.003143	1	1	0	1		atrial fibrillation
GAD Gene-Disease Associations	gad	atrial fibrillation;	0.0015715	1	1	0	1		atrial fibrillation;
GAD Gene-Disease Associations	gad	bipolar affective disorder	0.024096	0.345	1	0	1		bipolar affective disorder
