dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
BioGRID Protein-Protein Interactions	biogrid	VDAC1	-0.025667	0.12139	1	0	-1		VDAC1
BioGRID Protein-Protein Interactions	biogrid	IPO9	-0.0065572	1	1	0	-1		IPO9
BioGRID Protein-Protein Interactions	biogrid	CANX	0.022732	0.47084	1	0	1		CANX
BioGRID Protein-Protein Interactions	biogrid	HSD17B10	-0.040592	0.03368	1	0	-1		HSD17B10
BioGRID Protein-Protein Interactions	biogrid	UPF1	-0.040592	0.03293	1	0	-1		UPF1
BioGRID Protein-Protein Interactions	biogrid	PPP1CC	-0.017298	0.59066	1	0	-1		PPP1CC
BioGRID Protein-Protein Interactions	biogrid	ZW10	-0.025667	0.1219	1	0	-1		ZW10
BioGRID Protein-Protein Interactions	biogrid	NR2C2	0.012552	0.59719	1	0	1		NR2C2
BioGRID Protein-Protein Interactions	biogrid	MAPK8	0.001811	1	1	0	1		MAPK8
BioGRID Protein-Protein Interactions	biogrid	MAPK9	0.012552	0.59523	1	0	1		MAPK9
BioGRID Protein-Protein Interactions	biogrid	MAPK14	-0.05789	0.02767	1	0	-1		MAPK14
BioGRID Protein-Protein Interactions	biogrid	USP8	-0.0065572	1	1	0	-1		USP8
BioGRID Protein-Protein Interactions	biogrid	FLNA	-0.045338	0.14393	1	0	-1		FLNA
BioGRID Protein-Protein Interactions	biogrid	SMN1	-0.0065572	1	1	0	-1		SMN1
BioGRID Protein-Protein Interactions	biogrid	TSG101	-0.0089302	1	1	0	-1		TSG101
BioGRID Protein-Protein Interactions	biogrid	HOMER3	-0.025667	0.12169	1	0	-1		HOMER3
BioGRID Protein-Protein Interactions	biogrid	MEP1A	-0.0065572	1	1	0	-1		MEP1A
BioGRID Protein-Protein Interactions	biogrid	GNG2	0.025105	0.3461	1	0	1		GNG2
BioGRID Protein-Protein Interactions	biogrid	GPRASP2	0.012552	0.59615	1	0	1		GPRASP2
BioGRID Protein-Protein Interactions	biogrid	MEOX2	-0.0065572	1	1	0	-1		MEOX2
BioGRID Protein-Protein Interactions	biogrid	RAC1	-0.021483	0.21194	1	0	-1		RAC1
BioGRID Protein-Protein Interactions	biogrid	RHOA	0.012552	0.59428	1	0	1		RHOA
BioGRID Protein-Protein Interactions	biogrid	PLG	-0.040592	0.03472	1	0	-1		PLG
BioGRID Protein-Protein Interactions	biogrid	EPS8	-0.0065572	1	1	0	-1		EPS8
BioGRID Protein-Protein Interactions	biogrid	H3F3A	-0.036408	0.071949	1	0	-1		H3F3A
BioGRID Protein-Protein Interactions	biogrid	TGFB1	-0.040592	0.035	1	0	-1		TGFB1
BioGRID Protein-Protein Interactions	biogrid	KIF1A	0.016736	0.5807	1	0	1		KIF1A
BioGRID Protein-Protein Interactions	biogrid	THBS1	0.0059951	1	1	0	1		THBS1
BioGRID Protein-Protein Interactions	biogrid	ZBTB9	-0.0065572	1	1	0	-1		ZBTB9
BioGRID Protein-Protein Interactions	biogrid	ATP13A2	0.012552	0.59411	1	0	1		ATP13A2
BioGRID Protein-Protein Interactions	biogrid	LONP1	-0.017298	0.58618	1	0	-1		LONP1
BioGRID Protein-Protein Interactions	biogrid	FARSA	-0.0065572	1	1	0	-1		FARSA
BioGRID Protein-Protein Interactions	biogrid	NUP93	-0.0065572	1	1	0	-1		NUP93
BioGRID Protein-Protein Interactions	biogrid	RPL9	-0.040592	0.03346	1	0	-1		RPL9
BioGRID Protein-Protein Interactions	biogrid	SNW1	-0.0065572	1	1	0	-1		SNW1
BioGRID Protein-Protein Interactions	biogrid	PKD1	-0.021483	0.20905	1	0	-1		PKD1
BioGRID Protein-Protein Interactions	biogrid	NAPA	-0.040592	0.0345	1	0	-1		NAPA
BioGRID Protein-Protein Interactions	biogrid	SEC61A1	0.016736	0.57875	1	0	1		SEC61A1
BioGRID Protein-Protein Interactions	biogrid	RPL10	-0.025667	0.12094	1	0	-1		RPL10
BioGRID Protein-Protein Interactions	biogrid	HSPA1A	-0.0029351	1	1	0	-1		HSPA1A
BioGRID Protein-Protein Interactions	biogrid	CD81	-0.042965	0.073149	1	0	-1		CD81
BioGRID Protein-Protein Interactions	biogrid	SRPK1	-0.023856	0.37927	1	0	-1		SRPK1
BioGRID Protein-Protein Interactions	biogrid	RNF2	-0.032224	0.12103	1	0	-1		RNF2
BioGRID Protein-Protein Interactions	biogrid	COPS5	-0.062637	0.067229	1	0	-1		COPS5
